"iata","airport","city","state","country","lat","long"
"ATL","William B Hartsfield-Atlanta Intl","Atlanta","GA","USA",33.64044444,-84.42694444
"LGA","LaGuardia","New York","NY","USA",40.77724306,-73.87260917
